Episode,Reward
0-99,-53.121212121212125
100-199,-59.14141414141414
200-299,-39.686868686868685
300-399,-23.565656565656564
400-499,-14.474747474747474
500-599,-15.545454545454545
600-699,-12.616161616161616
700-799,-8.585858585858587
800-899,-7.737373737373737
900-999,-7.01010101010101
1000-1099,-6.707070707070707
1100-1199,-6.282828282828283
1200-1299,-6.02020202020202
1300-1399,-5.767676767676767
1400-1499,-5.525252525252525
1500-1599,-5.424242424242424
1600-1699,-5.171717171717172
1700-1799,-5.404040404040404
1800-1899,-4.888888888888889
1900-1999,-4.848484848484849
2000-2099,-4.7272727272727275
2100-2199,-4.797979797979798
2200-2299,-4.616161616161616
2300-2399,-5.5353535353535355
2400-2499,-4.5353535353535355
2500-2599,-4.434343434343434
2600-2699,-4.3232323232323235
2700-2799,-4.424242424242424
2800-2899,-4.383838383838384
2900-2999,-4.181818181818182
3000-3099,-4.252525252525253
3100-3199,-4.212121212121212
3200-3299,-4.121212121212121
3300-3399,-4.181818181818182
3400-3499,-4.111111111111111
3500-3599,-4.181818181818182
3600-3699,-4.141414141414141
3700-3799,-4.151515151515151
3800-3899,-4.141414141414141
3900-3999,-4.02020202020202
4000-4099,-4.08080808080808
4100-4199,-4.08080808080808
4200-4299,-4.070707070707071
4300-4399,-4.03030303030303
4400-4499,-4.070707070707071
4500-4599,-4.040404040404041
4600-4699,-4.040404040404041
4700-4799,-4.02020202020202
4800-4899,-4.03030303030303
4900-4999,-4.0606060606060606
5000-5099,-4.03030303030303
5100-5199,-4.01010101010101
5200-5299,-4.040404040404041
5300-5399,-4.08080808080808
5400-5499,-4.01010101010101
5500-5599,-4.040404040404041
5600-5699,-4.01010101010101
5700-5799,-4.040404040404041
5800-5899,-4.090909090909091
5900-5999,-4.05050505050505
6000-6099,-4.0606060606060606
6100-6199,-4.05050505050505
6200-6299,-4.0606060606060606
6300-6399,-4.090909090909091
6400-6499,-4.040404040404041
6500-6599,-4.070707070707071
6600-6699,-4.0606060606060606
6700-6799,-4.03030303030303
6800-6899,-4.0
6900-6999,-4.0606060606060606
7000-7099,-4.040404040404041
7100-7199,-4.040404040404041
7200-7299,-4.090909090909091
7300-7399,-4.0606060606060606
7400-7499,-4.121212121212121
7500-7599,-4.101010101010101
7600-7699,-4.05050505050505
7700-7799,-4.090909090909091
7800-7899,-4.05050505050505
7900-7999,-4.03030303030303
8000-8099,-4.08080808080808
8100-8199,-4.05050505050505
8200-8299,-4.03030303030303
8300-8399,-4.03030303030303
8400-8499,-4.040404040404041
8500-8599,-4.070707070707071
8600-8699,-4.040404040404041
8700-8799,-4.05050505050505
8800-8899,-4.040404040404041
8900-8999,-4.0606060606060606
9000-9099,-4.0606060606060606
9100-9199,-4.070707070707071
9200-9299,-4.03030303030303
9300-9399,-4.1313131313131315
9400-9499,-4.02020202020202
9500-9599,-4.05050505050505
9600-9699,-4.03030303030303
9700-9799,-4.0606060606060606
9800-9899,-4.05050505050505
9900-9999,-4.03030303030303
