Episode,Reward
0-99,-95.6969696969697
100-199,-87.95959595959596
200-299,-76.44444444444444
300-399,-50.515151515151516
400-499,-39.96969696969697
500-599,-34.888888888888886
600-699,-29.717171717171716
700-799,-23.95959595959596
800-899,-23.181818181818183
900-999,-19.07070707070707
1000-1099,-19.060606060606062
1100-1199,-18.09090909090909
1200-1299,-16.757575757575758
1300-1399,-16.363636363636363
1400-1499,-14.868686868686869
1500-1599,-14.404040404040405
1600-1699,-15.141414141414142
1700-1799,-13.686868686868687
1800-1899,-13.16161616161616
1900-1999,-13.575757575757576
2000-2099,-12.909090909090908
2100-2199,-12.727272727272727
2200-2299,-12.878787878787879
2300-2399,-12.474747474747474
2400-2499,-12.464646464646465
2500-2599,-12.282828282828282
2600-2699,-12.080808080808081
2700-2799,-12.090909090909092
2800-2899,-11.727272727272727
2900-2999,-11.646464646464647
3000-3099,-11.707070707070708
3100-3199,-11.696969696969697
3200-3299,-11.393939393939394
3300-3399,-11.525252525252526
3400-3499,-11.404040404040405
3500-3599,-11.404040404040405
3600-3699,-11.282828282828282
3700-3799,-11.303030303030303
3800-3899,-11.303030303030303
3900-3999,-11.272727272727273
4000-4099,-11.343434343434344
4100-4199,-11.212121212121213
4200-4299,-11.16161616161616
4300-4399,-11.11111111111111
4400-4499,-11.131313131313131
4500-4599,-11.11111111111111
4600-4699,-11.131313131313131
4700-4799,-11.070707070707071
4800-4899,-11.151515151515152
4900-4999,-11.1010101010101
5000-5099,-11.080808080808081
5100-5199,-11.11111111111111
5200-5299,-11.202020202020202
5300-5399,-11.16161616161616
5400-5499,-11.131313131313131
5500-5599,-11.16161616161616
5600-5699,-11.090909090909092
5700-5799,-11.090909090909092
5800-5899,-11.080808080808081
5900-5999,-11.090909090909092
6000-6099,-11.06060606060606
6100-6199,-11.141414141414142
6200-6299,-11.141414141414142
6300-6399,-11.171717171717171
6400-6499,-11.070707070707071
6500-6599,-11.121212121212121
6600-6699,-11.121212121212121
6700-6799,-11.131313131313131
6800-6899,-11.141414141414142
6900-6999,-11.222222222222221
7000-7099,-11.06060606060606
7100-7199,-11.141414141414142
7200-7299,-11.1010101010101
7300-7399,-11.080808080808081
7400-7499,-11.424242424242424
7500-7599,-11.1010101010101
7600-7699,-11.11111111111111
7700-7799,-11.16161616161616
7800-7899,-11.131313131313131
7900-7999,-11.06060606060606
8000-8099,-11.1010101010101
8100-8199,-11.191919191919192
8200-8299,-11.06060606060606
8300-8399,-11.141414141414142
8400-8499,-11.181818181818182
8500-8599,-11.070707070707071
8600-8699,-11.1010101010101
8700-8799,-11.16161616161616
8800-8899,-11.262626262626263
8900-8999,-11.090909090909092
9000-9099,-11.131313131313131
9100-9199,-11.11111111111111
9200-9299,-11.181818181818182
9300-9399,-11.16161616161616
9400-9499,-11.181818181818182
9500-9599,-11.1010101010101
9600-9699,-11.222222222222221
9700-9799,-11.131313131313131
9800-9899,-11.212121212121213
9900-9999,-11.11111111111111
