Episode,Reward
0-99,-49.656565656565654
100-199,-30.22222222222222
200-299,-9.0
300-399,-7.393939393939394
400-499,-5.333333333333333
500-599,-4.212121212121212
600-699,-4.151515151515151
700-799,-4.040404040404041
800-899,-4.08080808080808
900-999,-5.1313131313131315
1000-1099,-4.03030303030303
1100-1199,-4.05050505050505
1200-1299,-4.05050505050505
1300-1399,-4.040404040404041
1400-1499,-4.0606060606060606
1500-1599,-4.111111111111111
1600-1699,-4.090909090909091
1700-1799,-5.03030303030303
1800-1899,-5.0
1900-1999,-4.101010101010101
2000-2099,-4.02020202020202
2100-2199,-4.01010101010101
2200-2299,-4.0
2300-2399,-4.0606060606060606
2400-2499,-4.05050505050505
2500-2599,-4.090909090909091
2600-2699,-4.08080808080808
2700-2799,-4.03030303030303
2800-2899,-4.08080808080808
2900-2999,-4.171717171717172
3000-3099,-4.08080808080808
3100-3199,-4.03030303030303
3200-3299,-4.0606060606060606
3300-3399,-4.02020202020202
3400-3499,-4.03030303030303
3500-3599,-4.040404040404041
3600-3699,-4.111111111111111
3700-3799,-4.05050505050505
3800-3899,-4.03030303030303
3900-3999,-4.1313131313131315
4000-4099,-4.03030303030303
4100-4199,-4.01010101010101
4200-4299,-4.05050505050505
4300-4399,-4.040404040404041
4400-4499,-4.05050505050505
4500-4599,-4.02020202020202
4600-4699,-4.01010101010101
4700-4799,-5.02020202020202
4800-4899,-4.090909090909091
4900-4999,-4.040404040404041
5000-5099,-4.05050505050505
5100-5199,-4.040404040404041
5200-5299,-4.03030303030303
5300-5399,-4.0606060606060606
5400-5499,-4.111111111111111
5500-5599,-4.040404040404041
5600-5699,-4.161616161616162
5700-5799,-4.02020202020202
5800-5899,-4.02020202020202
5900-5999,-5.05050505050505
6000-6099,-4.090909090909091
6100-6199,-4.0606060606060606
6200-6299,-4.040404040404041
6300-6399,-4.0606060606060606
6400-6499,-4.02020202020202
6500-6599,-4.05050505050505
6600-6699,-4.05050505050505
6700-6799,-4.05050505050505
6800-6899,-4.05050505050505
6900-6999,-4.040404040404041
7000-7099,-4.0606060606060606
7100-7199,-4.101010101010101
7200-7299,-4.111111111111111
7300-7399,-4.03030303030303
7400-7499,-4.0606060606060606
7500-7599,-4.0
7600-7699,-4.0
7700-7799,-4.0606060606060606
7800-7899,-4.02020202020202
7900-7999,-4.02020202020202
8000-8099,-4.01010101010101
8100-8199,-4.08080808080808
8200-8299,-4.02020202020202
8300-8399,-4.05050505050505
8400-8499,-4.040404040404041
8500-8599,-5.0
8600-8699,-4.040404040404041
8700-8799,-4.090909090909091
8800-8899,-4.05050505050505
8900-8999,-4.101010101010101
9000-9099,-4.05050505050505
9100-9199,-4.101010101010101
9200-9299,-4.1313131313131315
9300-9399,-4.05050505050505
9400-9499,-4.01010101010101
9500-9599,-4.070707070707071
9600-9699,-5.040404040404041
9700-9799,-4.0606060606060606
9800-9899,-4.03030303030303
9900-9999,-4.0606060606060606
