Episode,Reward
0-99,-96.20202020202021
100-199,-92.16161616161617
200-299,-86.70707070707071
300-399,-82.55555555555556
400-499,-77.81818181818181
500-599,-75.4949494949495
600-699,-72.67676767676768
700-799,-63.13131313131313
800-899,-62.55555555555556
900-999,-58.05050505050505
1000-1099,-56.83838383838384
1100-1199,-50.80808080808081
1200-1299,-48.08080808080808
1300-1399,-44.45454545454545
1400-1499,-42.04040404040404
1500-1599,-39.05050505050505
1600-1699,-37.24242424242424
1700-1799,-32.98989898989899
1800-1899,-32.42424242424242
1900-1999,-28.181818181818183
2000-2099,-26.0
2100-2199,-24.545454545454547
2200-2299,-22.838383838383837
2300-2399,-20.666666666666668
2400-2499,-18.828282828282827
2500-2599,-17.04040404040404
2600-2699,-14.969696969696969
2700-2799,-13.787878787878787
2800-2899,-12.919191919191919
2900-2999,-13.464646464646465
3000-3099,-12.1010101010101
3100-3199,-11.97979797979798
3200-3299,-12.333333333333334
3300-3399,-11.565656565656566
3400-3499,-11.616161616161616
3500-3599,-11.565656565656566
3600-3699,-11.767676767676768
3700-3799,-11.313131313131313
3800-3899,-11.404040404040405
3900-3999,-11.878787878787879
4000-4099,-11.070707070707071
4100-4199,-11.232323232323232
4200-4299,-11.131313131313131
4300-4399,-11.202020202020202
4400-4499,-11.808080808080808
4500-4599,-11.151515151515152
4600-4699,-11.171717171717171
4700-4799,-11.424242424242424
4800-4899,-11.88888888888889
4900-4999,-11.11111111111111
5000-5099,-11.272727272727273
5100-5199,-11.292929292929292
5200-5299,-11.16161616161616
5300-5399,-11.818181818181818
5400-5499,-11.171717171717171
5500-5599,-11.282828282828282
5600-5699,-11.636363636363637
5700-5799,-11.181818181818182
5800-5899,-11.070707070707071
5900-5999,-11.202020202020202
6000-6099,-11.16161616161616
6100-6199,-11.070707070707071
6200-6299,-11.11111111111111
6300-6399,-11.434343434343434
6400-6499,-11.151515151515152
6500-6599,-11.181818181818182
6600-6699,-11.151515151515152
6700-6799,-11.16161616161616
6800-6899,-11.131313131313131
6900-6999,-11.171717171717171
7000-7099,-11.06060606060606
7100-7199,-11.05050505050505
7200-7299,-11.171717171717171
7300-7399,-11.141414141414142
7400-7499,-11.383838383838384
7500-7599,-11.080808080808081
7600-7699,-11.585858585858587
7700-7799,-11.212121212121213
7800-7899,-11.141414141414142
7900-7999,-11.242424242424242
8000-8099,-11.11111111111111
8100-8199,-11.323232323232324
8200-8299,-11.262626262626263
8300-8399,-11.080808080808081
8400-8499,-11.212121212121213
8500-8599,-11.1010101010101
8600-8699,-11.141414141414142
8700-8799,-11.131313131313131
8800-8899,-11.121212121212121
8900-8999,-11.434343434343434
9000-9099,-11.313131313131313
9100-9199,-11.141414141414142
9200-9299,-11.080808080808081
9300-9399,-11.585858585858587
9400-9499,-11.363636363636363
9500-9599,-11.121212121212121
9600-9699,-11.333333333333334
9700-9799,-11.636363636363637
9800-9899,-11.080808080808081
9900-9999,-11.090909090909092
