Episode,Reward
0-99,-32.04040404040404
100-199,-19.8989898989899
200-299,-14.545454545454545
300-399,-11.8989898989899
400-499,-10.080808080808081
500-599,-8.292929292929292
600-699,-6.626262626262626
700-799,-6.555555555555555
800-899,-6.5353535353535355
900-999,-5.4646464646464645
1000-1099,-5.393939393939394
1100-1199,-4.565656565656566
1200-1299,-4.484848484848484
1300-1399,-4.494949494949495
1400-1499,-4.3232323232323235
1500-1599,-4.303030303030303
1600-1699,-3.8686868686868685
1700-1799,-3.8686868686868685
1800-1899,-3.6161616161616164
1900-1999,-3.6262626262626263
2000-2099,-3.727272727272727
2100-2199,-3.606060606060606
2200-2299,-3.525252525252525
2300-2399,-3.414141414141414
2400-2499,-3.3333333333333335
2500-2599,-3.303030303030303
2600-2699,-3.4242424242424243
2700-2799,-3.323232323232323
2800-2899,-3.202020202020202
2900-2999,-3.2626262626262625
3000-3099,-3.080808080808081
3100-3199,-3.1616161616161618
3200-3299,-3.1414141414141414
3300-3399,-3.080808080808081
3400-3499,-3.1313131313131315
3500-3599,-3.101010101010101
3600-3699,-3.0505050505050506
3700-3799,-3.111111111111111
3800-3899,-3.0202020202020203
3900-3999,-3.1515151515151514
4000-4099,-3.101010101010101
4100-4199,-3.080808080808081
4200-4299,-3.101010101010101
4300-4399,-3.0606060606060606
4400-4499,-3.04040404040404
4500-4599,-3.0707070707070705
4600-4699,-3.121212121212121
4700-4799,-3.01010101010101
4800-4899,-3.0505050505050506
4900-4999,-3.0303030303030303
5000-5099,-3.0
5100-5199,-3.0202020202020203
5200-5299,-3.04040404040404
5300-5399,-3.0303030303030303
5400-5499,-3.0202020202020203
5500-5599,-3.0
5600-5699,-3.0303030303030303
5700-5799,-3.0303030303030303
5800-5899,-3.0505050505050506
5900-5999,-3.0
6000-6099,-3.04040404040404
6100-6199,-3.0
6200-6299,-3.0303030303030303
6300-6399,-3.0707070707070705
6400-6499,-3.0303030303030303
6500-6599,-3.04040404040404
6600-6699,-3.0505050505050506
6700-6799,-3.01010101010101
6800-6899,-3.0202020202020203
6900-6999,-3.0202020202020203
7000-7099,-3.0505050505050506
7100-7199,-3.01010101010101
7200-7299,-3.121212121212121
7300-7399,-3.0303030303030303
7400-7499,-3.0202020202020203
7500-7599,-3.0707070707070705
7600-7699,-3.0303030303030303
7700-7799,-3.0
7800-7899,-3.0505050505050506
7900-7999,-3.0606060606060606
8000-8099,-3.01010101010101
8100-8199,-3.0707070707070705
8200-8299,-3.0202020202020203
8300-8399,-3.0505050505050506
8400-8499,-3.0202020202020203
8500-8599,-3.0303030303030303
8600-8699,-3.01010101010101
8700-8799,-3.04040404040404
8800-8899,-3.0202020202020203
8900-8999,-3.0202020202020203
9000-9099,-3.01010101010101
9100-9199,-3.0606060606060606
9200-9299,-3.0303030303030303
9300-9399,-3.0707070707070705
9400-9499,-3.0
9500-9599,-3.0303030303030303
9600-9699,-3.04040404040404
9700-9799,-3.01010101010101
9800-9899,-3.0303030303030303
9900-9999,-3.04040404040404
