Episode,Reward
0-99,-59.16161616161616
100-199,-42.36363636363637
200-299,-26.232323232323232
300-399,-21.252525252525253
400-499,-14.797979797979798
500-599,-11.525252525252526
600-699,-11.454545454545455
700-799,-8.757575757575758
800-899,-7.787878787878788
900-999,-7.0606060606060606
1000-1099,-6.777777777777778
1100-1199,-6.242424242424242
1200-1299,-6.292929292929293
1300-1399,-6.171717171717172
1400-1499,-5.505050505050505
1500-1599,-5.545454545454546
1600-1699,-6.05050505050505
1700-1799,-5.151515151515151
1800-1899,-4.909090909090909
1900-1999,-5.0606060606060606
2000-2099,-4.666666666666667
2100-2199,-4.646464646464646
2200-2299,-4.626262626262626
2300-2399,-4.454545454545454
2400-2499,-4.5353535353535355
2500-2599,-4.373737373737374
2600-2699,-4.373737373737374
2700-2799,-4.404040404040404
2800-2899,-4.252525252525253
2900-2999,-4.252525252525253
3000-3099,-4.232323232323233
3100-3199,-4.191919191919192
3200-3299,-4.202020202020202
3300-3399,-4.161616161616162
3400-3499,-4.141414141414141
3500-3599,-4.191919191919192
3600-3699,-4.181818181818182
3700-3799,-4.070707070707071
3800-3899,-4.040404040404041
3900-3999,-4.0606060606060606
4000-4099,-4.08080808080808
4100-4199,-4.0
4200-4299,-4.05050505050505
4300-4399,-4.070707070707071
4400-4499,-4.08080808080808
4500-4599,-4.040404040404041
4600-4699,-4.090909090909091
4700-4799,-4.040404040404041
4800-4899,-4.090909090909091
4900-4999,-4.070707070707071
5000-5099,-4.01010101010101
5100-5199,-4.040404040404041
5200-5299,-4.02020202020202
5300-5399,-4.02020202020202
5400-5499,-4.040404040404041
5500-5599,-4.0606060606060606
5600-5699,-4.08080808080808
5700-5799,-4.03030303030303
5800-5899,-4.02020202020202
5900-5999,-4.0606060606060606
6000-6099,-4.101010101010101
6100-6199,-4.0606060606060606
6200-6299,-4.08080808080808
6300-6399,-4.02020202020202
6400-6499,-4.02020202020202
6500-6599,-4.01010101010101
6600-6699,-4.070707070707071
6700-6799,-4.040404040404041
6800-6899,-4.070707070707071
6900-6999,-4.0606060606060606
7000-7099,-4.01010101010101
7100-7199,-4.05050505050505
7200-7299,-4.070707070707071
7300-7399,-4.090909090909091
7400-7499,-4.070707070707071
7500-7599,-4.03030303030303
7600-7699,-4.070707070707071
7700-7799,-4.0
7800-7899,-4.040404040404041
7900-7999,-4.040404040404041
8000-8099,-4.02020202020202
8100-8199,-4.111111111111111
8200-8299,-4.0606060606060606
8300-8399,-4.070707070707071
8400-8499,-4.0606060606060606
8500-8599,-4.03030303030303
8600-8699,-4.121212121212121
8700-8799,-4.01010101010101
8800-8899,-4.101010101010101
8900-8999,-4.01010101010101
9000-9099,-4.111111111111111
9100-9199,-4.0606060606060606
9200-9299,-4.05050505050505
9300-9399,-4.101010101010101
9400-9499,-4.0606060606060606
9500-9599,-4.0
9600-9699,-4.02020202020202
9700-9799,-4.101010101010101
9800-9899,-4.040404040404041
9900-9999,-4.08080808080808
