Episode,Reward
0-99,-58.93939393939394
100-199,-53.19191919191919
200-299,-45.484848484848484
300-399,-28.747474747474747
400-499,-27.19191919191919
500-599,-16.68686868686869
600-699,-10.636363636363637
700-799,-10.363636363636363
800-899,-7.959595959595959
900-999,-6.898989898989899
1000-1099,-6.8686868686868685
1100-1199,-6.353535353535354
1200-1299,-6.111111111111111
1300-1399,-5.91919191919192
1400-1499,-5.646464646464646
1500-1599,-5.242424242424242
1600-1699,-5.383838383838384
1700-1799,-4.787878787878788
1800-1899,-4.929292929292929
1900-1999,-4.848484848484849
2000-2099,-4.666666666666667
2100-2199,-4.838383838383838
2200-2299,-4.565656565656566
2300-2399,-4.5353535353535355
2400-2499,-4.434343434343434
2500-2599,-4.383838383838384
2600-2699,-4.363636363636363
2700-2799,-4.414141414141414
2800-2899,-4.282828282828283
2900-2999,-4.454545454545454
3000-3099,-4.151515151515151
3100-3199,-4.282828282828283
3200-3299,-4.191919191919192
3300-3399,-4.121212121212121
3400-3499,-4.222222222222222
3500-3599,-4.101010101010101
3600-3699,-4.121212121212121
3700-3799,-4.101010101010101
3800-3899,-4.040404040404041
3900-3999,-4.0606060606060606
4000-4099,-4.141414141414141
4100-4199,-4.08080808080808
4200-4299,-4.101010101010101
4300-4399,-4.02020202020202
4400-4499,-4.101010101010101
4500-4599,-4.040404040404041
4600-4699,-4.08080808080808
4700-4799,-4.111111111111111
4800-4899,-4.070707070707071
4900-4999,-4.08080808080808
5000-5099,-4.0606060606060606
5100-5199,-4.0606060606060606
5200-5299,-4.070707070707071
5300-5399,-4.02020202020202
5400-5499,-4.040404040404041
5500-5599,-4.03030303030303
5600-5699,-4.101010101010101
5700-5799,-4.02020202020202
5800-5899,-4.02020202020202
5900-5999,-4.03030303030303
6000-6099,-4.01010101010101
6100-6199,-4.03030303030303
6200-6299,-4.040404040404041
6300-6399,-4.090909090909091
6400-6499,-4.01010101010101
6500-6599,-4.01010101010101
6600-6699,-4.01010101010101
6700-6799,-4.03030303030303
6800-6899,-4.01010101010101
6900-6999,-4.040404040404041
7000-7099,-4.08080808080808
7100-7199,-4.08080808080808
7200-7299,-4.02020202020202
7300-7399,-4.040404040404041
7400-7499,-4.05050505050505
7500-7599,-4.040404040404041
7600-7699,-4.03030303030303
7700-7799,-4.111111111111111
7800-7899,-4.070707070707071
7900-7999,-4.03030303030303
8000-8099,-4.02020202020202
8100-8199,-4.08080808080808
8200-8299,-4.02020202020202
8300-8399,-4.05050505050505
8400-8499,-4.040404040404041
8500-8599,-4.02020202020202
8600-8699,-4.08080808080808
8700-8799,-4.03030303030303
8800-8899,-4.0606060606060606
8900-8999,-4.090909090909091
9000-9099,-4.01010101010101
9100-9199,-4.090909090909091
9200-9299,-4.111111111111111
9300-9399,-4.01010101010101
9400-9499,-4.0606060606060606
9500-9599,-4.040404040404041
9600-9699,-4.040404040404041
9700-9799,-4.111111111111111
9800-9899,-4.040404040404041
9900-9999,-4.070707070707071
