Episode,Reward
0-99,-83.71717171717172
100-199,-49.666666666666664
200-299,-22.2020202020202
300-399,-14.121212121212121
400-499,-12.575757575757576
500-599,-11.808080808080808
600-699,-11.212121212121213
700-799,-11.191919191919192
800-899,-11.141414141414142
900-999,-11.303030303030303
1000-1099,-11.181818181818182
1100-1199,-11.141414141414142
1200-1299,-11.363636363636363
1300-1399,-11.1010101010101
1400-1499,-11.131313131313131
1500-1599,-11.181818181818182
1600-1699,-11.434343434343434
1700-1799,-11.151515151515152
1800-1899,-11.080808080808081
1900-1999,-11.11111111111111
2000-2099,-11.11111111111111
2100-2199,-11.141414141414142
2200-2299,-11.080808080808081
2300-2399,-11.171717171717171
2400-2499,-11.121212121212121
2500-2599,-11.06060606060606
2600-2699,-11.06060606060606
2700-2799,-11.171717171717171
2800-2899,-11.181818181818182
2900-2999,-11.11111111111111
3000-3099,-11.080808080808081
3100-3199,-11.555555555555555
3200-3299,-11.1010101010101
3300-3399,-11.171717171717171
3400-3499,-11.16161616161616
3500-3599,-11.414141414141413
3600-3699,-11.272727272727273
3700-3799,-11.090909090909092
3800-3899,-11.151515151515152
3900-3999,-11.1010101010101
4000-4099,-11.080808080808081
4100-4199,-11.353535353535353
4200-4299,-11.090909090909092
4300-4399,-11.333333333333334
4400-4499,-11.222222222222221
4500-4599,-11.242424242424242
4600-4699,-11.090909090909092
4700-4799,-11.16161616161616
4800-4899,-11.11111111111111
4900-4999,-11.141414141414142
5000-5099,-11.11111111111111
5100-5199,-11.1010101010101
5200-5299,-11.121212121212121
5300-5399,-11.121212121212121
5400-5499,-11.191919191919192
5500-5599,-11.212121212121213
5600-5699,-11.313131313131313
5700-5799,-11.222222222222221
5800-5899,-11.080808080808081
5900-5999,-11.080808080808081
6000-6099,-11.1010101010101
6100-6199,-11.080808080808081
6200-6299,-11.151515151515152
6300-6399,-11.16161616161616
6400-6499,-11.131313131313131
6500-6599,-11.1010101010101
6600-6699,-11.121212121212121
6700-6799,-11.181818181818182
6800-6899,-11.121212121212121
6900-6999,-11.393939393939394
7000-7099,-11.1010101010101
7100-7199,-11.04040404040404
7200-7299,-11.1010101010101
7300-7399,-11.06060606060606
7400-7499,-11.090909090909092
7500-7599,-11.1010101010101
7600-7699,-11.080808080808081
7700-7799,-11.16161616161616
7800-7899,-11.121212121212121
7900-7999,-11.16161616161616
8000-8099,-11.202020202020202
8100-8199,-11.11111111111111
8200-8299,-11.16161616161616
8300-8399,-11.141414141414142
8400-8499,-11.171717171717171
8500-8599,-11.191919191919192
8600-8699,-11.1010101010101
8700-8799,-11.090909090909092
8800-8899,-11.151515151515152
8900-8999,-11.11111111111111
9000-9099,-11.404040404040405
9100-9199,-11.121212121212121
9200-9299,-11.151515151515152
9300-9399,-11.515151515151516
9400-9499,-11.04040404040404
9500-9599,-11.282828282828282
9600-9699,-11.06060606060606
9700-9799,-11.151515151515152
9800-9899,-11.272727272727273
9900-9999,-11.181818181818182
