Episode,Reward
0-99,-94.1010101010101
100-199,-80.06060606060606
200-299,-66.17171717171718
300-399,-49.57575757575758
400-499,-41.01010101010101
500-599,-34.19191919191919
600-699,-26.68686868686869
700-799,-23.696969696969695
800-899,-21.636363636363637
900-999,-19.8989898989899
1000-1099,-19.96969696969697
1100-1199,-17.67676767676768
1200-1299,-16.68686868686869
1300-1399,-15.878787878787879
1400-1499,-15.262626262626263
1500-1599,-14.555555555555555
1600-1699,-14.282828282828282
1700-1799,-14.434343434343434
1800-1899,-13.333333333333334
1900-1999,-13.121212121212121
2000-2099,-13.0
2100-2199,-12.727272727272727
2200-2299,-12.83838383838384
2300-2399,-12.363636363636363
2400-2499,-11.88888888888889
2500-2599,-12.363636363636363
2600-2699,-12.141414141414142
2700-2799,-11.98989898989899
2800-2899,-11.97979797979798
2900-2999,-11.636363636363637
3000-3099,-11.525252525252526
3100-3199,-11.555555555555555
3200-3299,-11.696969696969697
3300-3399,-11.545454545454545
3400-3499,-11.606060606060606
3500-3599,-11.404040404040405
3600-3699,-11.282828282828282
3700-3799,-11.383838383838384
3800-3899,-11.323232323232324
3900-3999,-11.242424242424242
4000-4099,-11.242424242424242
4100-4199,-11.242424242424242
4200-4299,-11.202020202020202
4300-4399,-11.171717171717171
4400-4499,-11.16161616161616
4500-4599,-11.131313131313131
4600-4699,-11.070707070707071
4700-4799,-11.151515151515152
4800-4899,-11.313131313131313
4900-4999,-11.151515151515152
5000-5099,-11.090909090909092
5100-5199,-11.11111111111111
5200-5299,-11.1010101010101
5300-5399,-11.141414141414142
5400-5499,-11.171717171717171
5500-5599,-11.121212121212121
5600-5699,-11.151515151515152
5700-5799,-11.16161616161616
5800-5899,-11.151515151515152
5900-5999,-11.171717171717171
6000-6099,-11.04040404040404
6100-6199,-11.06060606060606
6200-6299,-11.131313131313131
6300-6399,-11.232323232323232
6400-6499,-11.171717171717171
6500-6599,-11.141414141414142
6600-6699,-11.121212121212121
6700-6799,-11.151515151515152
6800-6899,-11.090909090909092
6900-6999,-11.232323232323232
7000-7099,-11.121212121212121
7100-7199,-11.121212121212121
7200-7299,-11.080808080808081
7300-7399,-11.131313131313131
7400-7499,-11.141414141414142
7500-7599,-11.090909090909092
7600-7699,-11.090909090909092
7700-7799,-11.212121212121213
7800-7899,-11.090909090909092
7900-7999,-11.131313131313131
8000-8099,-11.131313131313131
8100-8199,-11.131313131313131
8200-8299,-11.090909090909092
8300-8399,-11.090909090909092
8400-8499,-11.131313131313131
8500-8599,-11.11111111111111
8600-8699,-11.16161616161616
8700-8799,-11.212121212121213
8800-8899,-11.080808080808081
8900-8999,-11.131313131313131
9000-9099,-11.070707070707071
9100-9199,-11.141414141414142
9200-9299,-11.121212121212121
9300-9399,-11.070707070707071
9400-9499,-11.121212121212121
9500-9599,-11.090909090909092
9600-9699,-11.06060606060606
9700-9799,-11.06060606060606
9800-9899,-11.080808080808081
9900-9999,-11.222222222222221
