Episode,Reward
0-99,-33.343434343434346
100-199,-24.232323232323232
200-299,-17.434343434343436
300-399,-13.515151515151516
400-499,-10.848484848484848
500-599,-10.505050505050505
600-699,-8.363636363636363
700-799,-7.0606060606060606
800-899,-6.070707070707071
900-999,-5.848484848484849
1000-1099,-5.7272727272727275
1100-1199,-4.737373737373737
1200-1299,-4.848484848484849
1300-1399,-4.232323232323233
1400-1499,-4.242424242424242
1500-1599,-4.040404040404041
1600-1699,-4.02020202020202
1700-1799,-4.292929292929293
1800-1899,-3.95959595959596
1900-1999,-3.6464646464646466
2000-2099,-3.606060606060606
2100-2199,-3.6464646464646466
2200-2299,-3.484848484848485
2300-2399,-3.3333333333333335
2400-2499,-3.3333333333333335
2500-2599,-3.505050505050505
2600-2699,-3.202020202020202
2700-2799,-3.1313131313131315
2800-2899,-3.191919191919192
2900-2999,-3.2222222222222223
3000-3099,-3.202020202020202
3100-3199,-3.1515151515151514
3200-3299,-3.1414141414141414
3300-3399,-3.121212121212121
3400-3499,-3.202020202020202
3500-3599,-3.080808080808081
3600-3699,-3.0606060606060606
3700-3799,-3.080808080808081
3800-3899,-3.0707070707070705
3900-3999,-3.0202020202020203
4000-4099,-3.0303030303030303
4100-4199,-3.0606060606060606
4200-4299,-3.0505050505050506
4300-4399,-3.0303030303030303
4400-4499,-3.0505050505050506
4500-4599,-3.04040404040404
4600-4699,-3.0505050505050506
4700-4799,-3.01010101010101
4800-4899,-3.0303030303030303
4900-4999,-3.1616161616161618
5000-5099,-3.0303030303030303
5100-5199,-3.0202020202020203
5200-5299,-3.0606060606060606
5300-5399,-3.0606060606060606
5400-5499,-3.0505050505050506
5500-5599,-3.0
5600-5699,-3.0505050505050506
5700-5799,-3.101010101010101
5800-5899,-3.01010101010101
5900-5999,-3.0303030303030303
6000-6099,-3.0303030303030303
6100-6199,-3.0606060606060606
6200-6299,-3.0303030303030303
6300-6399,-3.04040404040404
6400-6499,-3.0505050505050506
6500-6599,-3.0606060606060606
6600-6699,-3.0303030303030303
6700-6799,-3.0303030303030303
6800-6899,-3.0202020202020203
6900-6999,-3.01010101010101
7000-7099,-3.0606060606060606
7100-7199,-3.04040404040404
7200-7299,-3.0505050505050506
7300-7399,-3.0505050505050506
7400-7499,-3.0707070707070705
7500-7599,-3.0707070707070705
7600-7699,-3.0606060606060606
7700-7799,-3.0
7800-7899,-3.101010101010101
7900-7999,-3.121212121212121
8000-8099,-3.0303030303030303
8100-8199,-3.0606060606060606
8200-8299,-3.101010101010101
8300-8399,-3.0202020202020203
8400-8499,-3.04040404040404
8500-8599,-3.01010101010101
8600-8699,-3.0202020202020203
8700-8799,-3.090909090909091
8800-8899,-3.04040404040404
8900-8999,-3.0202020202020203
9000-9099,-3.0505050505050506
9100-9199,-3.0303030303030303
9200-9299,-3.080808080808081
9300-9399,-3.0303030303030303
9400-9499,-3.04040404040404
9500-9599,-3.0202020202020203
9600-9699,-3.01010101010101
9700-9799,-3.090909090909091
9800-9899,-3.080808080808081
9900-9999,-3.0202020202020203
