Episode,Reward
0-99,-95.62626262626263
100-199,-91.91919191919192
200-299,-77.5959595959596
300-399,-62.494949494949495
400-499,-44.26262626262626
500-599,-37.54545454545455
600-699,-28.333333333333332
700-799,-25.525252525252526
800-899,-22.09090909090909
900-999,-20.90909090909091
1000-1099,-19.858585858585858
1100-1199,-16.818181818181817
1200-1299,-16.09090909090909
1300-1399,-15.565656565656566
1400-1499,-15.474747474747474
1500-1599,-14.181818181818182
1600-1699,-14.02020202020202
1700-1799,-14.262626262626263
1800-1899,-13.414141414141413
1900-1999,-13.494949494949495
2000-2099,-13.151515151515152
2100-2199,-12.787878787878787
2200-2299,-12.656565656565656
2300-2399,-12.494949494949495
2400-2499,-12.343434343434344
2500-2599,-12.01010101010101
2600-2699,-11.909090909090908
2700-2799,-11.808080808080808
2800-2899,-11.737373737373737
2900-2999,-11.737373737373737
3000-3099,-11.606060606060606
3100-3199,-11.686868686868687
3200-3299,-11.636363636363637
3300-3399,-11.474747474747474
3400-3499,-11.555555555555555
3500-3599,-11.414141414141413
3600-3699,-11.242424242424242
3700-3799,-11.323232323232324
3800-3899,-11.303030303030303
3900-3999,-11.303030303030303
4000-4099,-11.232323232323232
4100-4199,-11.131313131313131
4200-4299,-11.181818181818182
4300-4399,-11.141414141414142
4400-4499,-11.171717171717171
4500-4599,-11.151515151515152
4600-4699,-11.070707070707071
4700-4799,-11.080808080808081
4800-4899,-11.212121212121213
4900-4999,-11.11111111111111
5000-5099,-11.05050505050505
5100-5199,-11.131313131313131
5200-5299,-11.131313131313131
5300-5399,-11.131313131313131
5400-5499,-11.121212121212121
5500-5599,-11.121212121212121
5600-5699,-11.1010101010101
5700-5799,-11.16161616161616
5800-5899,-11.131313131313131
5900-5999,-11.191919191919192
6000-6099,-11.141414141414142
6100-6199,-11.121212121212121
6200-6299,-11.06060606060606
6300-6399,-11.1010101010101
6400-6499,-11.131313131313131
6500-6599,-11.16161616161616
6600-6699,-11.04040404040404
6700-6799,-11.070707070707071
6800-6899,-11.181818181818182
6900-6999,-11.131313131313131
7000-7099,-11.191919191919192
7100-7199,-11.141414141414142
7200-7299,-11.131313131313131
7300-7399,-11.070707070707071
7400-7499,-11.05050505050505
7500-7599,-11.141414141414142
7600-7699,-11.090909090909092
7700-7799,-11.090909090909092
7800-7899,-11.151515151515152
7900-7999,-11.181818181818182
8000-8099,-11.191919191919192
8100-8199,-11.131313131313131
8200-8299,-11.080808080808081
8300-8399,-11.141414141414142
8400-8499,-11.131313131313131
8500-8599,-11.121212121212121
8600-8699,-11.121212121212121
8700-8799,-11.151515151515152
8800-8899,-11.181818181818182
8900-8999,-11.070707070707071
9000-9099,-11.222222222222221
9100-9199,-11.131313131313131
9200-9299,-11.222222222222221
9300-9399,-11.121212121212121
9400-9499,-11.080808080808081
9500-9599,-11.131313131313131
9600-9699,-11.11111111111111
9700-9799,-11.151515151515152
9800-9899,-11.141414141414142
9900-9999,-11.202020202020202
