Episode,Reward
0-99,-89.12121212121212
100-199,-50.26262626262626
200-299,-23.87878787878788
300-399,-13.565656565656566
400-499,-11.848484848484848
500-599,-11.93939393939394
600-699,-11.434343434343434
700-799,-11.151515151515152
800-899,-11.191919191919192
900-999,-11.131313131313131
1000-1099,-11.131313131313131
1100-1199,-11.171717171717171
1200-1299,-11.353535353535353
1300-1399,-11.121212121212121
1400-1499,-11.16161616161616
1500-1599,-11.121212121212121
1600-1699,-11.090909090909092
1700-1799,-11.141414141414142
1800-1899,-11.181818181818182
1900-1999,-11.151515151515152
2000-2099,-11.262626262626263
2100-2199,-11.252525252525253
2200-2299,-11.121212121212121
2300-2399,-11.1010101010101
2400-2499,-11.171717171717171
2500-2599,-11.11111111111111
2600-2699,-11.1010101010101
2700-2799,-11.16161616161616
2800-2899,-11.080808080808081
2900-2999,-11.181818181818182
3000-3099,-11.323232323232324
3100-3199,-11.11111111111111
3200-3299,-11.11111111111111
3300-3399,-11.181818181818182
3400-3499,-11.070707070707071
3500-3599,-11.05050505050505
3600-3699,-11.090909090909092
3700-3799,-11.141414141414142
3800-3899,-11.11111111111111
3900-3999,-11.070707070707071
4000-4099,-11.202020202020202
4100-4199,-11.16161616161616
4200-4299,-11.151515151515152
4300-4399,-11.11111111111111
4400-4499,-11.222222222222221
4500-4599,-11.16161616161616
4600-4699,-11.121212121212121
4700-4799,-11.080808080808081
4800-4899,-11.11111111111111
4900-4999,-11.191919191919192
5000-5099,-11.131313131313131
5100-5199,-11.232323232323232
5200-5299,-11.080808080808081
5300-5399,-11.11111111111111
5400-5499,-11.1010101010101
5500-5599,-11.202020202020202
5600-5699,-11.232323232323232
5700-5799,-11.131313131313131
5800-5899,-11.171717171717171
5900-5999,-11.121212121212121
6000-6099,-11.131313131313131
6100-6199,-11.202020202020202
6200-6299,-11.131313131313131
6300-6399,-11.080808080808081
6400-6499,-11.131313131313131
6500-6599,-11.11111111111111
6600-6699,-11.131313131313131
6700-6799,-11.212121212121213
6800-6899,-11.1010101010101
6900-6999,-11.030303030303031
7000-7099,-11.151515151515152
7100-7199,-11.16161616161616
7200-7299,-11.090909090909092
7300-7399,-11.1010101010101
7400-7499,-11.11111111111111
7500-7599,-11.16161616161616
7600-7699,-11.131313131313131
7700-7799,-11.070707070707071
7800-7899,-11.090909090909092
7900-7999,-11.090909090909092
8000-8099,-11.11111111111111
8100-8199,-11.121212121212121
8200-8299,-11.121212121212121
8300-8399,-11.202020202020202
8400-8499,-11.090909090909092
8500-8599,-11.272727272727273
8600-8699,-11.151515151515152
8700-8799,-11.181818181818182
8800-8899,-11.202020202020202
8900-8999,-11.151515151515152
9000-9099,-11.191919191919192
9100-9199,-11.171717171717171
9200-9299,-11.212121212121213
9300-9399,-11.141414141414142
9400-9499,-11.151515151515152
9500-9599,-11.16161616161616
9600-9699,-11.1010101010101
9700-9799,-11.090909090909092
9800-9899,-11.06060606060606
9900-9999,-11.11111111111111
