Episode,Reward
0-99,-58.111111111111114
100-199,-55.4040404040404
200-299,-42.696969696969695
300-399,-52.81818181818182
400-499,-28.747474747474747
500-599,-15.05050505050505
600-699,-11.030303030303031
700-799,-8.616161616161616
800-899,-8.11111111111111
900-999,-10.121212121212121
1000-1099,-6.404040404040404
1100-1199,-7.151515151515151
1200-1299,-6.232323232323233
1300-1399,-5.686868686868687
1400-1499,-6.747474747474747
1500-1599,-5.070707070707071
1600-1699,-5.424242424242424
1700-1799,-4.909090909090909
1800-1899,-4.888888888888889
1900-1999,-5.141414141414141
2000-2099,-5.05050505050505
2100-2199,-4.6767676767676765
2200-2299,-4.484848484848484
2300-2399,-4.555555555555555
2400-2499,-4.545454545454546
2500-2599,-4.343434343434343
2600-2699,-4.333333333333333
2700-2799,-4.2727272727272725
2800-2899,-4.393939393939394
2900-2999,-4.171717171717172
3000-3099,-4.161616161616162
3100-3199,-4.2727272727272725
3200-3299,-4.3232323232323235
3300-3399,-4.202020202020202
3400-3499,-4.232323232323233
3500-3599,-4.070707070707071
3600-3699,-4.171717171717172
3700-3799,-4.181818181818182
3800-3899,-4.0606060606060606
3900-3999,-4.111111111111111
4000-4099,-4.040404040404041
4100-4199,-4.0606060606060606
4200-4299,-4.0606060606060606
4300-4399,-4.121212121212121
4400-4499,-4.040404040404041
4500-4599,-4.08080808080808
4600-4699,-4.121212121212121
4700-4799,-4.02020202020202
4800-4899,-4.03030303030303
4900-4999,-4.040404040404041
5000-5099,-4.040404040404041
5100-5199,-4.040404040404041
5200-5299,-4.070707070707071
5300-5399,-4.03030303030303
5400-5499,-4.0606060606060606
5500-5599,-4.05050505050505
5600-5699,-4.02020202020202
5700-5799,-4.08080808080808
5800-5899,-4.03030303030303
5900-5999,-4.01010101010101
6000-6099,-4.101010101010101
6100-6199,-4.040404040404041
6200-6299,-4.0
6300-6399,-4.02020202020202
6400-6499,-4.08080808080808
6500-6599,-4.01010101010101
6600-6699,-4.040404040404041
6700-6799,-4.05050505050505
6800-6899,-4.05050505050505
6900-6999,-4.040404040404041
7000-7099,-4.05050505050505
7100-7199,-4.02020202020202
7200-7299,-4.090909090909091
7300-7399,-4.040404040404041
7400-7499,-4.0606060606060606
7500-7599,-4.090909090909091
7600-7699,-4.05050505050505
7700-7799,-4.03030303030303
7800-7899,-4.070707070707071
7900-7999,-4.08080808080808
8000-8099,-4.0606060606060606
8100-8199,-4.040404040404041
8200-8299,-4.040404040404041
8300-8399,-4.05050505050505
8400-8499,-4.0606060606060606
8500-8599,-4.02020202020202
8600-8699,-4.03030303030303
8700-8799,-4.040404040404041
8800-8899,-4.070707070707071
8900-8999,-4.070707070707071
9000-9099,-4.08080808080808
9100-9199,-4.040404040404041
9200-9299,-4.05050505050505
9300-9399,-4.02020202020202
9400-9499,-4.05050505050505
9500-9599,-4.02020202020202
9600-9699,-4.101010101010101
9700-9799,-4.05050505050505
9800-9899,-4.03030303030303
9900-9999,-4.040404040404041
