Episode,Reward
0-99,-34.74747474747475
100-199,-19.838383838383837
200-299,-15.454545454545455
300-399,-12.282828282828282
400-499,-10.434343434343434
500-599,-8.181818181818182
600-699,-7.5353535353535355
700-799,-6.08080808080808
800-899,-6.434343434343434
900-999,-5.767676767676767
1000-1099,-4.898989898989899
1100-1199,-5.08080808080808
1200-1299,-4.777777777777778
1300-1399,-4.717171717171717
1400-1499,-4.191919191919192
1500-1599,-4.121212121212121
1600-1699,-3.98989898989899
1700-1799,-3.686868686868687
1800-1899,-3.585858585858586
1900-1999,-3.717171717171717
2000-2099,-3.484848484848485
2100-2199,-3.6262626262626263
2200-2299,-3.292929292929293
2300-2399,-3.313131313131313
2400-2499,-3.393939393939394
2500-2599,-3.292929292929293
2600-2699,-3.3333333333333335
2700-2799,-3.282828282828283
2800-2899,-3.2222222222222223
2900-2999,-3.191919191919192
3000-3099,-3.2525252525252526
3100-3199,-3.2626262626262625
3200-3299,-3.090909090909091
3300-3399,-3.1313131313131315
3400-3499,-3.080808080808081
3500-3599,-3.090909090909091
3600-3699,-3.121212121212121
3700-3799,-3.1414141414141414
3800-3899,-3.1313131313131315
3900-3999,-3.1414141414141414
4000-4099,-3.101010101010101
4100-4199,-3.0303030303030303
4200-4299,-3.090909090909091
4300-4399,-3.0606060606060606
4400-4499,-3.0707070707070705
4500-4599,-3.01010101010101
4600-4699,-3.01010101010101
4700-4799,-3.0707070707070705
4800-4899,-3.0606060606060606
4900-4999,-3.0202020202020203
5000-5099,-3.0707070707070705
5100-5199,-3.101010101010101
5200-5299,-3.0303030303030303
5300-5399,-3.0606060606060606
5400-5499,-3.0303030303030303
5500-5599,-3.0707070707070705
5600-5699,-3.0202020202020203
5700-5799,-3.0707070707070705
5800-5899,-3.01010101010101
5900-5999,-3.04040404040404
6000-6099,-3.1515151515151514
6100-6199,-3.0707070707070705
6200-6299,-3.0303030303030303
6300-6399,-3.0505050505050506
6400-6499,-3.080808080808081
6500-6599,-3.04040404040404
6600-6699,-3.04040404040404
6700-6799,-3.0505050505050506
6800-6899,-3.0606060606060606
6900-6999,-3.080808080808081
7000-7099,-3.0202020202020203
7100-7199,-3.04040404040404
7200-7299,-3.0505050505050506
7300-7399,-3.0303030303030303
7400-7499,-3.0303030303030303
7500-7599,-3.0
7600-7699,-3.0303030303030303
7700-7799,-3.0
7800-7899,-3.080808080808081
7900-7999,-3.0
8000-8099,-3.0606060606060606
8100-8199,-3.0707070707070705
8200-8299,-3.04040404040404
8300-8399,-3.0505050505050506
8400-8499,-3.04040404040404
8500-8599,-3.01010101010101
8600-8699,-3.04040404040404
8700-8799,-3.0505050505050506
8800-8899,-3.0303030303030303
8900-8999,-3.0505050505050506
9000-9099,-3.0303030303030303
9100-9199,-3.0303030303030303
9200-9299,-3.0303030303030303
9300-9399,-3.080808080808081
9400-9499,-3.0303030303030303
9500-9599,-3.0202020202020203
9600-9699,-3.04040404040404
9700-9799,-3.0303030303030303
9800-9899,-3.0202020202020203
9900-9999,-3.080808080808081
