Episode,Reward
0-99,-61.676767676767675
100-199,-56.58585858585859
200-299,-54.35353535353536
300-399,-49.57575757575758
400-499,-55.76767676767677
500-599,-53.73737373737374
600-699,-49.91919191919192
700-799,-48.85858585858586
800-899,-42.656565656565654
900-999,-38.43434343434343
1000-1099,-37.676767676767675
1100-1199,-35.36363636363637
1200-1299,-32.41414141414141
1300-1399,-30.1010101010101
1400-1499,-28.12121212121212
1500-1599,-26.565656565656564
1600-1699,-22.80808080808081
1700-1799,-21.858585858585858
1800-1899,-18.818181818181817
1900-1999,-15.606060606060606
2000-2099,-11.767676767676768
2100-2199,-7.818181818181818
2200-2299,-6.0606060606060606
2300-2399,-6.747474747474747
2400-2499,-5.434343434343434
2500-2599,-4.606060606060606
2600-2699,-5.454545454545454
2700-2799,-5.282828282828283
2800-2899,-5.282828282828283
2900-2999,-4.4646464646464645
3000-3099,-5.3232323232323235
3100-3199,-5.2727272727272725
3200-3299,-5.141414141414141
3300-3399,-4.191919191919192
3400-3499,-4.090909090909091
3500-3599,-4.313131313131313
3600-3699,-4.121212121212121
3700-3799,-5.121212121212121
3800-3899,-4.070707070707071
3900-3999,-4.08080808080808
4000-4099,-5.040404040404041
4100-4199,-4.02020202020202
4200-4299,-4.03030303030303
4300-4399,-4.090909090909091
4400-4499,-4.040404040404041
4500-4599,-4.0606060606060606
4600-4699,-4.01010101010101
4700-4799,-4.01010101010101
4800-4899,-4.040404040404041
4900-4999,-4.171717171717172
5000-5099,-4.070707070707071
5100-5199,-4.03030303030303
5200-5299,-4.0
5300-5399,-4.01010101010101
5400-5499,-4.040404040404041
5500-5599,-4.03030303030303
5600-5699,-4.040404040404041
5700-5799,-5.02020202020202
5800-5899,-4.1313131313131315
5900-5999,-5.05050505050505
6000-6099,-4.101010101010101
6100-6199,-4.05050505050505
6200-6299,-4.111111111111111
6300-6399,-4.02020202020202
6400-6499,-4.070707070707071
6500-6599,-4.070707070707071
6600-6699,-4.02020202020202
6700-6799,-5.02020202020202
6800-6899,-4.01010101010101
6900-6999,-4.0606060606060606
7000-7099,-4.111111111111111
7100-7199,-4.08080808080808
7200-7299,-4.040404040404041
7300-7399,-4.02020202020202
7400-7499,-4.03030303030303
7500-7599,-4.0
7600-7699,-4.05050505050505
7700-7799,-4.040404040404041
7800-7899,-5.111111111111111
7900-7999,-4.03030303030303
8000-8099,-5.1313131313131315
8100-8199,-4.040404040404041
8200-8299,-4.070707070707071
8300-8399,-4.05050505050505
8400-8499,-4.090909090909091
8500-8599,-4.01010101010101
8600-8699,-4.08080808080808
8700-8799,-4.03030303030303
8800-8899,-4.141414141414141
8900-8999,-4.08080808080808
9000-9099,-4.040404040404041
9100-9199,-4.171717171717172
9200-9299,-4.141414141414141
9300-9399,-4.070707070707071
9400-9499,-4.08080808080808
9500-9599,-4.01010101010101
9600-9699,-4.01010101010101
9700-9799,-4.070707070707071
9800-9899,-4.05050505050505
9900-9999,-4.090909090909091
