Episode,Reward
0-99,-64.20202020202021
100-199,-48.676767676767675
200-299,-28.282828282828284
300-399,-22.838383838383837
400-499,-20.404040404040405
500-599,-13.868686868686869
600-699,-11.656565656565656
700-799,-11.383838383838384
800-899,-9.565656565656566
900-999,-9.525252525252526
1000-1099,-7.666666666666667
1100-1199,-7.303030303030303
1200-1299,-8.030303030303031
1300-1399,-6.474747474747475
1400-1499,-6.94949494949495
1500-1599,-6.191919191919192
1600-1699,-5.383838383838384
1700-1799,-5.262626262626263
1800-1899,-5.646464646464646
1900-1999,-5.737373737373737
2000-2099,-5.212121212121212
2100-2199,-5.616161616161616
2200-2299,-4.9393939393939394
2300-2399,-5.434343434343434
2400-2499,-4.686868686868687
2500-2599,-4.808080808080808
2600-2699,-4.696969696969697
2700-2799,-4.424242424242424
2800-2899,-4.555555555555555
2900-2999,-4.616161616161616
3000-3099,-4.313131313131313
3100-3199,-4.303030303030303
3200-3299,-4.484848484848484
3300-3399,-4.222222222222222
3400-3499,-4.101010101010101
3500-3599,-4.222222222222222
3600-3699,-4.333333333333333
3700-3799,-4.212121212121212
3800-3899,-4.121212121212121
3900-3999,-4.05050505050505
4000-4099,-4.434343434343434
4100-4199,-4.111111111111111
4200-4299,-4.373737373737374
4300-4399,-4.05050505050505
4400-4499,-4.797979797979798
4500-4599,-4.242424242424242
4600-4699,-4.03030303030303
4700-4799,-4.0606060606060606
4800-4899,-4.575757575757576
4900-4999,-4.2727272727272725
5000-5099,-4.3232323232323235
5100-5199,-4.333333333333333
5200-5299,-4.08080808080808
5300-5399,-4.08080808080808
5400-5499,-4.121212121212121
5500-5599,-4.1313131313131315
5600-5699,-4.05050505050505
5700-5799,-4.5353535353535355
5800-5899,-5.0
5900-5999,-4.101010101010101
6000-6099,-4.040404040404041
6100-6199,-4.202020202020202
6200-6299,-4.1313131313131315
6300-6399,-4.363636363636363
6400-6499,-4.747474747474747
6500-6599,-4.040404040404041
6600-6699,-4.08080808080808
6700-6799,-4.121212121212121
6800-6899,-4.040404040404041
6900-6999,-4.08080808080808
7000-7099,-4.070707070707071
7100-7199,-4.0606060606060606
7200-7299,-4.02020202020202
7300-7399,-4.03030303030303
7400-7499,-4.090909090909091
7500-7599,-4.070707070707071
7600-7699,-4.05050505050505
7700-7799,-4.08080808080808
7800-7899,-4.090909090909091
7900-7999,-4.0606060606060606
8000-8099,-4.121212121212121
8100-8199,-4.2727272727272725
8200-8299,-4.0606060606060606
8300-8399,-4.040404040404041
8400-8499,-4.08080808080808
8500-8599,-4.05050505050505
8600-8699,-4.121212121212121
8700-8799,-4.040404040404041
8800-8899,-4.707070707070707
8900-8999,-4.03030303030303
9000-9099,-4.232323232323233
9100-9199,-4.03030303030303
9200-9299,-4.02020202020202
9300-9399,-4.08080808080808
9400-9499,-4.070707070707071
9500-9599,-4.090909090909091
9600-9699,-4.0606060606060606
9700-9799,-4.02020202020202
9800-9899,-4.97979797979798
9900-9999,-4.161616161616162
