Episode,Reward
0-99,-94.4949494949495
100-199,-86.81818181818181
200-299,-81.46464646464646
300-399,-62.91919191919192
400-499,-46.01010101010101
500-599,-36.888888888888886
600-699,-29.161616161616163
700-799,-25.04040404040404
800-899,-22.01010101010101
900-999,-20.151515151515152
1000-1099,-19.02020202020202
1100-1199,-17.68686868686869
1200-1299,-16.32323232323232
1300-1399,-16.404040404040405
1400-1499,-14.646464646464647
1500-1599,-14.818181818181818
1600-1699,-14.131313131313131
1700-1799,-13.808080808080808
1800-1899,-13.777777777777779
1900-1999,-12.969696969696969
2000-2099,-12.858585858585858
2100-2199,-12.505050505050505
2200-2299,-12.575757575757576
2300-2399,-12.444444444444445
2400-2499,-12.383838383838384
2500-2599,-11.969696969696969
2600-2699,-12.151515151515152
2700-2799,-12.04040404040404
2800-2899,-11.737373737373737
2900-2999,-11.787878787878787
3000-3099,-11.606060606060606
3100-3199,-11.454545454545455
3200-3299,-11.575757575757576
3300-3399,-11.424242424242424
3400-3499,-11.323232323232324
3500-3599,-11.565656565656566
3600-3699,-11.393939393939394
3700-3799,-11.272727272727273
3800-3899,-11.272727272727273
3900-3999,-11.292929292929292
4000-4099,-11.212121212121213
4100-4199,-11.171717171717171
4200-4299,-11.282828282828282
4300-4399,-11.141414141414142
4400-4499,-11.11111111111111
4500-4599,-11.151515151515152
4600-4699,-11.121212121212121
4700-4799,-11.121212121212121
4800-4899,-11.262626262626263
4900-4999,-11.151515151515152
5000-5099,-11.11111111111111
5100-5199,-11.202020202020202
5200-5299,-11.171717171717171
5300-5399,-11.16161616161616
5400-5499,-11.151515151515152
5500-5599,-11.090909090909092
5600-5699,-11.151515151515152
5700-5799,-11.090909090909092
5800-5899,-11.131313131313131
5900-5999,-11.151515151515152
6000-6099,-11.05050505050505
6100-6199,-11.131313131313131
6200-6299,-11.1010101010101
6300-6399,-11.16161616161616
6400-6499,-11.16161616161616
6500-6599,-11.11111111111111
6600-6699,-11.121212121212121
6700-6799,-11.141414141414142
6800-6899,-11.080808080808081
6900-6999,-11.070707070707071
7000-7099,-11.1010101010101
7100-7199,-11.01010101010101
7200-7299,-11.181818181818182
7300-7399,-11.242424242424242
7400-7499,-11.141414141414142
7500-7599,-11.1010101010101
7600-7699,-11.151515151515152
7700-7799,-11.191919191919192
7800-7899,-11.141414141414142
7900-7999,-11.030303030303031
8000-8099,-11.171717171717171
8100-8199,-11.181818181818182
8200-8299,-11.1010101010101
8300-8399,-11.121212121212121
8400-8499,-11.16161616161616
8500-8599,-11.06060606060606
8600-8699,-11.090909090909092
8700-8799,-11.080808080808081
8800-8899,-11.131313131313131
8900-8999,-11.303030303030303
9000-9099,-11.121212121212121
9100-9199,-11.16161616161616
9200-9299,-11.242424242424242
9300-9399,-11.151515151515152
9400-9499,-11.151515151515152
9500-9599,-11.11111111111111
9600-9699,-11.141414141414142
9700-9799,-11.191919191919192
9800-9899,-11.131313131313131
9900-9999,-11.121212121212121
