Episode,Reward
0-99,-96.63636363636364
100-199,-90.6969696969697
200-299,-74.14141414141415
300-399,-63.7979797979798
400-499,-52.16161616161616
500-599,-44.17171717171717
600-699,-33.45454545454545
700-799,-32.7979797979798
800-899,-26.68686868686869
900-999,-25.32323232323232
1000-1099,-24.19191919191919
1100-1199,-21.444444444444443
1200-1299,-19.757575757575758
1300-1399,-18.02020202020202
1400-1499,-17.95959595959596
1500-1599,-17.505050505050505
1600-1699,-17.09090909090909
1700-1799,-16.7979797979798
1800-1899,-14.05050505050505
1900-1999,-14.494949494949495
2000-2099,-14.626262626262626
2100-2199,-14.252525252525253
2200-2299,-13.595959595959595
2300-2399,-13.565656565656566
2400-2499,-13.181818181818182
2500-2599,-12.828282828282829
2600-2699,-12.454545454545455
2700-2799,-14.252525252525253
2800-2899,-13.474747474747474
2900-2999,-12.404040404040405
3000-3099,-11.757575757575758
3100-3199,-12.191919191919192
3200-3299,-12.434343434343434
3300-3399,-11.828282828282829
3400-3499,-12.0
3500-3599,-11.929292929292929
3600-3699,-11.505050505050505
3700-3799,-11.565656565656566
3800-3899,-11.414141414141413
3900-3999,-12.494949494949495
4000-4099,-12.464646464646465
4100-4199,-11.252525252525253
4200-4299,-11.141414141414142
4300-4399,-12.06060606060606
4400-4499,-11.444444444444445
4500-4599,-11.232323232323232
4600-4699,-11.404040404040405
4700-4799,-11.131313131313131
4800-4899,-11.151515151515152
4900-4999,-11.191919191919192
5000-5099,-11.06060606060606
5100-5199,-11.11111111111111
5200-5299,-11.131313131313131
5300-5399,-11.333333333333334
5400-5499,-11.282828282828282
5500-5599,-11.191919191919192
5600-5699,-12.080808080808081
5700-5799,-11.494949494949495
5800-5899,-11.080808080808081
5900-5999,-11.141414141414142
6000-6099,-11.171717171717171
6100-6199,-11.222222222222221
6200-6299,-11.141414141414142
6300-6399,-11.202020202020202
6400-6499,-11.090909090909092
6500-6599,-12.02020202020202
6600-6699,-11.181818181818182
6700-6799,-11.191919191919192
6800-6899,-11.323232323232324
6900-6999,-12.141414141414142
7000-7099,-11.090909090909092
7100-7199,-11.151515151515152
7200-7299,-11.545454545454545
7300-7399,-11.505050505050505
7400-7499,-11.080808080808081
7500-7599,-11.16161616161616
7600-7699,-11.151515151515152
7700-7799,-11.141414141414142
7800-7899,-11.202020202020202
7900-7999,-11.686868686868687
8000-8099,-12.414141414141413
8100-8199,-11.121212121212121
8200-8299,-11.151515151515152
8300-8399,-11.131313131313131
8400-8499,-11.1010101010101
8500-8599,-11.676767676767676
8600-8699,-11.777777777777779
8700-8799,-11.272727272727273
8800-8899,-11.070707070707071
8900-8999,-11.515151515151516
9000-9099,-12.080808080808081
9100-9199,-11.595959595959595
9200-9299,-11.929292929292929
9300-9399,-11.555555555555555
9400-9499,-11.212121212121213
9500-9599,-11.141414141414142
9600-9699,-11.181818181818182
9700-9799,-11.242424242424242
9800-9899,-11.191919191919192
9900-9999,-11.242424242424242
