Episode,Reward
0-99,-96.86868686868686
100-199,-89.48484848484848
200-299,-82.9090909090909
300-399,-76.74747474747475
400-499,-53.03030303030303
500-599,-36.292929292929294
600-699,-33.515151515151516
700-799,-24.98989898989899
800-899,-22.393939393939394
900-999,-21.292929292929294
1000-1099,-18.575757575757574
1100-1199,-17.696969696969695
1200-1299,-17.07070707070707
1300-1399,-15.797979797979798
1400-1499,-15.696969696969697
1500-1599,-14.373737373737374
1600-1699,-14.565656565656566
1700-1799,-14.222222222222221
1800-1899,-13.767676767676768
1900-1999,-13.555555555555555
2000-2099,-13.363636363636363
2100-2199,-12.494949494949495
2200-2299,-12.626262626262626
2300-2399,-12.262626262626263
2400-2499,-12.06060606060606
2500-2599,-12.121212121212121
2600-2699,-12.1010101010101
2700-2799,-12.070707070707071
2800-2899,-12.090909090909092
2900-2999,-11.828282828282829
3000-3099,-11.636363636363637
3100-3199,-11.575757575757576
3200-3299,-11.333333333333334
3300-3399,-11.373737373737374
3400-3499,-11.454545454545455
3500-3599,-11.414141414141413
3600-3699,-11.232323232323232
3700-3799,-11.353535353535353
3800-3899,-11.222222222222221
3900-3999,-11.282828282828282
4000-4099,-11.181818181818182
4100-4199,-11.151515151515152
4200-4299,-11.141414141414142
4300-4399,-11.1010101010101
4400-4499,-11.121212121212121
4500-4599,-11.121212121212121
4600-4699,-11.212121212121213
4700-4799,-11.131313131313131
4800-4899,-11.171717171717171
4900-4999,-11.1010101010101
5000-5099,-11.05050505050505
5100-5199,-11.11111111111111
5200-5299,-11.11111111111111
5300-5399,-11.202020202020202
5400-5499,-11.191919191919192
5500-5599,-11.191919191919192
5600-5699,-11.05050505050505
5700-5799,-11.181818181818182
5800-5899,-11.181818181818182
5900-5999,-11.070707070707071
6000-6099,-11.232323232323232
6100-6199,-11.11111111111111
6200-6299,-11.141414141414142
6300-6399,-11.121212121212121
6400-6499,-11.06060606060606
6500-6599,-11.1010101010101
6600-6699,-11.06060606060606
6700-6799,-11.212121212121213
6800-6899,-11.141414141414142
6900-6999,-11.303030303030303
7000-7099,-11.131313131313131
7100-7199,-11.05050505050505
7200-7299,-11.141414141414142
7300-7399,-11.121212121212121
7400-7499,-11.121212121212121
7500-7599,-11.090909090909092
7600-7699,-11.11111111111111
7700-7799,-11.131313131313131
7800-7899,-11.1010101010101
7900-7999,-11.121212121212121
8000-8099,-11.191919191919192
8100-8199,-11.131313131313131
8200-8299,-11.131313131313131
8300-8399,-11.141414141414142
8400-8499,-11.080808080808081
8500-8599,-11.16161616161616
8600-8699,-11.191919191919192
8700-8799,-11.04040404040404
8800-8899,-11.16161616161616
8900-8999,-11.131313131313131
9000-9099,-11.212121212121213
9100-9199,-11.141414141414142
9200-9299,-11.121212121212121
9300-9399,-11.080808080808081
9400-9499,-11.191919191919192
9500-9599,-11.141414141414142
9600-9699,-11.070707070707071
9700-9799,-11.181818181818182
9800-9899,-11.202020202020202
9900-9999,-11.11111111111111
