Episode,Reward
0-99,-95.01010101010101
100-199,-92.0
200-299,-87.97979797979798
300-399,-88.07070707070707
400-499,-82.1010101010101
500-599,-71.17171717171718
600-699,-72.70707070707071
700-799,-64.97979797979798
800-899,-65.12121212121212
900-999,-57.16161616161616
1000-1099,-56.343434343434346
1100-1199,-49.77777777777778
1200-1299,-49.26262626262626
1300-1399,-44.666666666666664
1400-1499,-41.61616161616162
1500-1599,-40.37373737373738
1600-1699,-36.76767676767677
1700-1799,-34.04040404040404
1800-1899,-31.21212121212121
1900-1999,-29.717171717171716
2000-2099,-26.92929292929293
2100-2199,-24.90909090909091
2200-2299,-23.363636363636363
2300-2399,-21.232323232323232
2400-2499,-19.474747474747474
2500-2599,-17.616161616161616
2600-2699,-15.757575757575758
2700-2799,-14.656565656565656
2800-2899,-12.454545454545455
2900-2999,-12.333333333333334
3000-3099,-11.94949494949495
3100-3199,-12.01010101010101
3200-3299,-12.393939393939394
3300-3399,-11.666666666666666
3400-3499,-11.97979797979798
3500-3599,-11.797979797979798
3600-3699,-11.505050505050505
3700-3799,-11.393939393939394
3800-3899,-11.414141414141413
3900-3999,-11.828282828282829
4000-4099,-11.434343434343434
4100-4199,-11.151515151515152
4200-4299,-11.636363636363637
4300-4399,-11.181818181818182
4400-4499,-11.202020202020202
4500-4599,-11.1010101010101
4600-4699,-11.151515151515152
4700-4799,-11.262626262626263
4800-4899,-11.070707070707071
4900-4999,-11.11111111111111
5000-5099,-11.080808080808081
5100-5199,-11.151515151515152
5200-5299,-11.141414141414142
5300-5399,-11.434343434343434
5400-5499,-12.0
5500-5599,-11.11111111111111
5600-5699,-11.04040404040404
5700-5799,-11.656565656565656
5800-5899,-11.030303030303031
5900-5999,-11.282828282828282
6000-6099,-11.131313131313131
6100-6199,-11.04040404040404
6200-6299,-11.272727272727273
6300-6399,-11.121212121212121
6400-6499,-11.1010101010101
6500-6599,-11.11111111111111
6600-6699,-11.383838383838384
6700-6799,-11.06060606060606
6800-6899,-11.090909090909092
6900-6999,-11.474747474747474
7000-7099,-11.090909090909092
7100-7199,-11.151515151515152
7200-7299,-11.212121212121213
7300-7399,-11.353535353535353
7400-7499,-11.090909090909092
7500-7599,-11.1010101010101
7600-7699,-11.121212121212121
7700-7799,-11.070707070707071
7800-7899,-11.444444444444445
7900-7999,-11.171717171717171
8000-8099,-11.131313131313131
8100-8199,-11.16161616161616
8200-8299,-11.11111111111111
8300-8399,-11.333333333333334
8400-8499,-11.121212121212121
8500-8599,-11.626262626262626
8600-8699,-11.171717171717171
8700-8799,-11.11111111111111
8800-8899,-11.212121212121213
8900-8999,-11.11111111111111
9000-9099,-11.383838383838384
9100-9199,-11.04040404040404
9200-9299,-11.131313131313131
9300-9399,-11.181818181818182
9400-9499,-11.11111111111111
9500-9599,-11.151515151515152
9600-9699,-11.424242424242424
9700-9799,-11.11111111111111
9800-9899,-11.242424242424242
9900-9999,-11.242424242424242
